id,text,labels
tik000008,Xem mà ngẫm lại cuộc đời bản thân ta đã trải qua nhiều thứ ta rồi cũng sẽ lớn kí ước sẽ còn mãi trong lòng,[12]
5743,bức ảnh xuất sắc ❤️,"[2, 8, 3]"
32895,"Vừa đẹp trai, vừa tài giỏi. Nhà mặt phố, bố làm to","[8, 7]"
you001182,"Bài học: <br>1: 5 nhìn, 4 chạm, 3 nghe, 2 ngửi, 1 nếm<br>2: tư duy 3%<br>3: Phương pháp thở",[27]
12052,"Dima Egiazarov bởi vì chúng tôi là người Việt Nam, còn hiểu hay không thì kệ mẹ bạn","[24, 23]"
1824,giờ mới biết,"[12, 13]"
tik023326,cảm thấy tự hào về đất nước mik,[7]
1046,nhìn mặt là cười phọt rồi,[0]
11556,Cris Minh Algeria nó theo đạo hồi. Ko đc chuyển giới. Nhiều người là nữ nhưng vẫn tiết nhiều Tetosteron hơn bình thường. Cơ bắp sẽ phát triển mạnh hơn,[27]
2320,nó giống tao ghê . gặp tao tao cũng chọn mày,"[0, 11, 2, 3]"
5795,ấn tượng vãi :v bàn tay vàng trong làng vẩy khế :v,"[0, 8]"
tik014796,tớ tự ti về mái tóc của tớ💀,[19]
5298,đọc xong tao muốn khóc luôn,"[21, 22, 20]"
5003,per là ai thế nhỉ cụ :)),"[14, 2]"
15239,chúc  mùng gd anh chi,"[2, 3]"
212,má đớp chanh hùi hụi thế kia mà mặt không nhăn à,"[13, 15]"
16420,Thằng đó nhiều khi đồng bọn tụi nó đấy ko ai mà vô tâm như vậy thấy đánh nhau hay giết nhau mà bỏ đi,"[24, 26]"
4487,trồi ôi bài hát đỉnh caooooo,"[1, 2, 0]"
13335,xin hãy public sdt ạ :)),"[0, 4]"
149,tuyệt vời quá cần nhiều tấm lòng tốt hơn nua thật là ý nghĩa,"[2, 8, 9, 5, 3]"
1039,mink chỉ lo là nhà nước không đủ gạo nuôi mấy anh,"[17, 26]"
tik017848,uây,"[13, 27]"
4503,đú quan trọng bởi người tao yêu củng không đi chơi valungtung thế là tao vui rồi :)),"[0, 2, 3]"
tik015903,T siêu tự ti về mái tóc xoăn tnhien,"[21, 19]"
tik021325,ê ở lớp t ko bạn thân gì luôn á t câm như con hến luôn mà về nhà t quậy như trâu,"[0, 19]"
tik018864,giá như....,"[4, 18, 21]"
tik017905,răng k đều làm sao có thể tự tin khi giao tiếp,[19]
x001458,"@TvNhinhi hãy cứ sống thật tốt,ít nhất là tốt với mình và người thân yêu của mình nhé xpet","[5, 6]"
28912,Nguyễn Sin nhìn a chị này là biết có tiền....Tiền Án Tiền Sự,"[25, 26]"
2493,cưng thiệt chớ ????,"[0, 3]"
2177,tao lại bị mọc lông chân rồi :((,"[25, 20]"
you003088,"Hay lắm cảm ơn bạn, bạn rất đẹp trai và thông thái 😊","[8, 9]"
810,mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó,"[2, 3, 4]"
1004,dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá,"[0, 23]"
3211,mũ sơ sài mà hiệu quả vãi,[13]
you001303,Cám ơn bạn nhiều lắm,[9]
4557,cảm giác thanh thản vãi,"[2, 10]"
tik011804,Uh Tao hối hận quá,[18]
14177,Đức Nam Hà bố cho quần vàng đi coi i,"[4, 6]"
17555,Nhiều người có khi lại muốn gài bẫy cho chúng nó dính lấy nhau để giải thoát cho chính mình 😢,"[25, 22, 23]"
19324,Mây Chiều nó vẫn hoạt động và lừa người :(,"[24, 21]"
you003964,Người ta có người yêu rồi <br>Yêu một mình là điện cuồng,"[21, 20]"
6761,ra viện tăng chục cân :)),"[0, 2, 1]"
tik023705,dù có là một đất nước nhỏ trên thế giới nhưng đây là đất nước hạnh phúc❤,"[2, 3, 7]"
x000135,@vohangx Cảm ơn bạn ạ,[9]
2890,"đm 3 tiếng đi được 20m , đéo biết bao giờ mới về đến nhà","[24, 25]"
tik011577,um...,[11]
tik018524,Đừng hỏi sao t hay ngại nữa:)),[19]
you005082,Bài j đây mn oi. Lời và nhạc cuốn quá tr,"[8, 14]"
3561,nhìn gai vãi,"[24, 25]"
6640,này thì chu cái bản mỏ ra,"[25, 23]"
21464,"Anh Thanh Đúng là các cụ còng lưng đấu tranh chống bóc lột sức lao động, đến con cháu thì bắt nhân viên chạy đua xuống mồ chung. 🙂","[21, 25]"
1716,per tao đã làm cho mày đau lòng nhiều lắm ư 🤔,"[18, 21]"
tik016626,có chút nhan sắc thì cuộc sống sẽ tốt hơn 1 chút,[5]
28836,Lấy le với gái quả này đi mút mùa luôn rồi a 😂,[0]
6631,nên gan ngỗng ăn ngon đó,[0]
tik017079,"Thiệt. T nhờ bn nam lm giúp j đó, t ngại nó ko thích. Thế là t tự lm mẹ luôn cho khỏe. Sợ ngta nói mình ko đẹp còn yếu đuối. Riết t như lực sĩ vậy!","[7, 16, 17, 19]"
485,đây là đâu ? cái này là như nào thế ??,"[14, 15]"
tik015743,tự ti nên lúc nào đi học cũng mang khtrang...,[19]
11568,Luyện quỳ hoa bảo điển,[27]
x001046,@Gocnhocuabo Xin lũi vì đã đến đây vào buổi khuya 😭,[18]
1242,per nhớ hội chị em vinmec quá :((,[21]
611,đứa nào nhây hơn đứa đấy thắng,[0]
31057,"Khẩu nghiệp bớt đi bạn ơi , mới được hạnh phúc nhé , chó mèo là để yêu thương chứ k phải để khẩu miệng bạn nói mấy thằng bắn chó là đúng , hôm nay nó bắn chết chó , mai mốt hết chó bắn , nó bắn đến bạn, hiểu hong vậy?","[25, 24]"
tik001419,nhôm 😂,[0]
15565,"Hân Nghiên đừng xem, nghiện hơn đá đó b ơi =))","[0, 25]"
2590,chuẩn lun,[11]
20900,Hồ Ngọc Dũng được đứa nào hay đứa đó . Còn hơn éo làm gì ngồi gõ,"[25, 26]"
tik020830,Làm sao h,[15]
22699,Quỷ đội lốt người mong pháp luật trừng trị đích đáng,"[23, 24]"
27228,"Sợ đáp lại tiếng động vào ban đêm. Kiểu tự dưng có tiếng kéo ghế kéo bàn, hay tiếng đồng xu rớt lẽng kẽng hay tiếng đập tường là tui sẽ im thin thít, không dám lên tiếng. Tại sợ nếu mở miệng chưởi hay trả lời sẽ bị con ma biết được vị trí hiện tại rồi bay tới quýnh mình sml 😭🙏","[16, 17]"
12753,Kim Phượng coi mà khó thở ngang,"[23, 25]"
1385,per =))))) hahaaaa,[0]
27659,"Yến Ngọc đọc thấy thương. Nhưng mà mình thích kiểu bị người yêu hiếp, kiểu bạo lực dẫy đành đậy haha","[0, 23, 3]"
tik012157,@CaMoc29 vậy ư 😌,[10]
23779,Mê nhạc phim hơn mê phim nữa,"[0, 3, 2]"
32901,"Oanh Phi sao bạn chỉ nghĩ tới việc cô gái lọt vào mắt nhỉ, bên Mỹ nó khác bọt lắm","[25, 26]"
tik012404,Hối hận thực sự khi ngoài kia bạn bè của mình vẫn hồn nhiên vô tư vs cuộc sống ngoài kia còn mình thì phải lo cho ck cho con gia đình ck rất cuộc hôn nhân là gì,[18]
thr000171,Anh đã trải qua chuyện tình cảm như nào mà anh sợ gái đẹp dữ vậy anh,[14]
1689,"dume về bố lại táng cho bờm đầu , có thể là lần cuối được đi xem đá bóng của cháu nó :))","[0, 21]"
14182,Minh Văn ổn nè,[27]
30816,Duyên Nguyễn bé 5 tuổi là bằng con nhà mình. Cũng khá nghịch ngợm. Trường hợp này nó ngồi sau chắc nóng hoặc nghịch là tự ý bỏ áo nên mình ko nhìn thấy được. Đôi khi tai nạn xảy ra mình nên cảm thông thôi bạn. Chắc ng ta lúc đó cũng sợ cắt ko còn giọt máu ấy chứ,"[6, 16]"
1779,"gấu của thằng da đen ngon vkl , mà công nhận chạy nhanh vãi","[0, 8]"
203,chết luôn .. tình yêu không phân biệt . giới tính .. tình yêu ơi là tình yêu .. tao đau khổ vì mày lắm rồi ...,"[21, 22, 20, 3]"
4268,"còn những người bình thường rất dữ , thật ra họ hiền lắm , nội tâm lắm","[12, 15]"
14846,"Vậy mà bác Trọng bảo. Đất nước ta chưa bao giờ có cơ đồ, tiềm lực, vị thế, uy tín quốc tế như này nay.",[20]
25769,Hoàng Huy ở đây chả ai lật bánh tráng tao đi đường thấy mấy thằng lạng lách đánh võng vẫn kêu tung vô cột điện chetme đi như thường nên t không rảnh để lật với chả bánh tráng ở đây 😀 t chứng kiến công an đánh người vì không chấp hành và chống đối người thi hành công vụ rồi đ ai đánh người như đánh chó như thế 😀 t đâu có kêu không được đánh? 😀,"[0, 25]"
3259,tao lại sợ ngôn tình quá cơ 😒,"[17, 16]"
5919,cắt . cảm ơn đoạn giả dối kia đã giúp các bạn trẻ có thêm niềm tin về 1 tình yêu đẹp 🤣🤣 riêng tao đéo tin nhé,"[0, 26]"
27293,Diệu Thuỷ lúc đó tui thấy mông lung luôn ă sao nhìn mình đáng sợ thế 🙉,"[16, 13, 15]"
you002819,Đúng lúc em đang cần video này. Em cảm ơn chị.,"[9, 11]"
966,con mèo khốn nạn dám bóp vếu vợ tao à 😡,"[24, 23]"
19723,Ảnh dân thường thôi nha mọi người . 1 vợ 2 con chạy grap nuôi gia đình,"[8, 9, 6]"
6082,nhớ thời ở ký túc xá quá đi per,[21]
tik005170,thay thương hai vk ck chỉ woa.e kho chu e mà có tiền nhiều là e giúp a chi tiền làm ăn cho a chi bot kho e mà trung xô e sẽ giúp a chi tiền làm an,[6]
1895,cưng chết,[3]
6085,tao còn phải đợi 3 tháng nữa là đủ 1 gia đình nhỏ rồi,"[1, 2, 5]"
4855,lâu quá mới nghe lại bài này buồn thế,"[21, 22]"
6915,"per má cái con ất ơ này , tao thù nó vãi , hồi nhỏ bị nó rượt chạy muốn sứt dép , nó dai còn hơn chó nữa .",[24]
12524,Giống như trường hợp bộ phim Hãy nói lời yêu thương. Bà mẹ áp lực cho con quá nên thằng bé tự vẫn .,"[21, 27]"
152,sao mà đỉnh dữ vậy trời,"[1, 8, 14]"
you002223,Huhuhu:(( hôm qua đi thi học kỳ e có lấy ví dụ về c Giang!!! Mong dc điểm cao và phù hợppp ❤️,"[5, 4]"
you004175,Bé cún cưng quá. thông minh quá,[8]
32915,"Khanh Nguyen ủa tự hào vn ???
Hỏi chấm???😎","[15, 7]"
12534,Cha mẹ nó chắc hoi han cả đời,"[20, 21]"
red000218,"Roll Yae Miko, và tôi có cả C1","[2, 1]"
4306,per nhìn đẹp thiệt mày,[8]
3147,đúng rất nguy hiểm ! đằng sau 1 thằng đàn ông đôi khi là cả một tủ váy,"[11, 12, 13]"
tik011607,"Điều muốn nói ra thì hãy nói, chứ không sẽ có một ngày hối hận 😌","[18, 12]"
6468,per còn nhớ cây nay không,[27]
30928,An Tuấn Hoàng 10đ không có nhưng,"[20, 25]"
30077,"Mai Thành Nam mày ngu lắm thằng khôn ạ, khi  đc đào tạo lái máy bay , thì mày phải học tốt tư tưởng, đạo đức, dũng cảm sẵn sàng chiến đấu, hy sinh...của người chiến sĩ QĐND Việt Nam. 
 Chứ bao vụ máy bay lỗi kỹ thuật mày nghĩ tự nhiên nó vào vườn ngô hay cánh đồng...mày nghĩ phi công ko kịp nhảy dù à?","[24, 25]"
red000057,Khóc cũng được nhưng đừng để ai thấy thế thôi,"[19, 11]"
3980,cười vui vãi,[0]
2179,mỗi lần tao ăn đu đủ bằng thìa thì bố tao lại chửi tao . bố tao bảo loại mày ăn đu đủ không cần thìa đâu .,"[21, 25]"
5757,tao tháy gái nguy hiểm vãi,"[16, 23, 25]"
x001314,@gaixinh_98 Xinh tuyệt vời luôn í chứ bạn nhỉ,[8]
6983,Từ nay t tu k hóng nữaaaaa Dưỡng Sinh Bích Nhung 😹,[18]
932,con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn,"[24, 25]"
13412,Lương Phiêu ai bảo. Boom bao nhiêu đơn hỗ trợ bấy nhiêu,[26]
4764,hẳn là phạt 5 triệu luôn,"[24, 25]"
15557,Tại con Jane nó hù ổng trước.,"[0, 27]"
tik003275,ở đâu vậy nè,[14]
you003373,🙏🇺🇦👍🇺🇦👍🇺🇦👍💪💪💪,"[9, 11, 5]"
you001662,1 uống nước và thay chăn gối<br>nghỉ ngơi <br>2 suy nghĩ ra nguyên nhân<br>3 làm gì đó mới mẻ<br>4 bỏ đi mối quan hệ độc hại<br>5 chịu một chút trách nhiệm cho mình.,[27]
28025,Dù mạng là ảo thì cũng nên thể hiện mình là con người. Bệnh của ng ta lại đem ra đùa cợt,"[23, 26]"
tik000275,sorry bà nha áo tui hơi giỡn á,[19]
1048,đọc chả hiểu gì :( mất gốc rồi :(,"[20, 21, 15]"
2003,ở chỗ khác chắc gì có đứa béo như mình !,"[19, 23]"
26302,Linh Linh Thấy bị đâm hai lần c ah. Xem kĩ video thì thấy đâm vào 1 lần xong lại thêm 1 lần nữa. Thương quá,"[21, 22, 24]"
you005714,Rồi rốt cuộc là bún chả ngon hay bún chả ngon? Rồi bánh canh chả cá hay bánh canh chả cá ??????,"[0, 14]"
6804,đag đói mà đợi ôg này làm cho ăn chắc nghỉ mẹ nó luôn .:3,[25]
409,per mắc dại quá mà,"[25, 23]"
4305,"cậu ấy tán tôi , tôi từ chối . thế là từ đó chúng tôi đéo làm bạn được nữa !!!","[24, 20]"
14709,"thệc hôk,,,chứ thấy báo mấy anh k à","[15, 14]"
you001287,Em cảm ơn Thày ạ! Em mới biết kênh của Thày được ít ngày nhưng đã thấy rất hay và hữu ích! Em xin chúc Thày nhiều sức khoẻ !,"[9, 11, 6]"
tik001450,đừng bao giờ đùa kiểu này nghe mọi người,"[25, 26]"
20505,Chiều Xuân đấy,[27]
